unix,low,high,open,close,volume,date,vol_fiat
1602028800,101.19,111.93,105.86,110.44,47647.369,2020-10-07,5262175.43236
1601942400,101.3,123.03,122.01,105.85,47363.833,2020-10-06,5013461.723049999
1601856000,117.5,124.61,119.5,122.13,11279.517,2020-10-05,1377567.4112099998
1601769600,117.01,122.8,121.04,119.6,10578.989,2020-10-04,1265247.0843999998
1601683200,120.02,125.5,120.34,121.09,8323.085,2020-10-03,1007842.3626499999
1601596800,116.53,130.82,129.12,120.4,28851.92,2020-10-02,3473771.168
1601510400,125.0,140.0,133.77,129.16,18385.494,2020-10-01,2374670.4050399996
1601424000,130.02,136.22,132.71,133.49,11564.36,2020-09-30,1543726.4164000002
1601337600,127.77,134.55,131.42,132.8,15203.356,2020-09-29,2019005.6768000002
1601251200,129.99,141.46,139.21,131.53,26329.022,2020-09-28,3463056.26366
1601164800,135.11,147.69,144.04,138.98,9010.529,2020-09-27,1252283.32042
1601078400,136.89,147.42,139.31,144.27,11329.294,2020-09-26,1634477.2453800002
1600992000,133.01,144.0,138.67,139.01,19871.112,2020-09-25,2762283.27912
1600905600,126.06,141.29,127.18,138.59,21578.343,2020-09-24,2990542.5563700004
1600819200,124.27,146.92,143.46,127.16,26745.259,2020-09-23,3400927.1344399997
1600732800,127.2,146.1,128.39,143.54,28438.487,2020-09-22,4082060.42398
1600646400,123.36,145.99,144.5,128.33,35002.031,2020-09-21,4491810.638230001
1600560000,140.5,152.79,151.86,144.5,20739.001,2020-09-20,2996785.6445
1600473600,150.99,156.6,153.89,151.84,15014.79,2020-09-19,2279845.7136000004
1600387200,151.2,168.0,158.34,153.88,24803.773,2020-09-18,3816804.58924
1600300800,146.53,161.16,152.94,158.4,20449.18,2020-09-17,3239150.112
1600214400,147.25,154.94,154.61,152.99,13465.909,2020-09-16,2060149.41791
1600128000,152.2,169.88,166.26,154.61,13103.431,2020-09-15,2025921.4669100002
1600041600,158.8,170.74,164.95,166.26,16960.494,2020-09-14,2819851.7324399995
1599955200,161.51,185.0,180.71,164.92,20892.323,2020-09-13,3445561.90916
1599868800,169.53,181.11,173.04,180.63,10689.081,2020-09-12,1930768.7010299999
1599782400,160.04,177.85,171.55,173.04,28735.412,2020-09-11,4972375.69248
1599696000,169.44,186.97,177.8,171.47,19206.259,2020-09-10,3293297.2307299995
1599609600,167.34,185.17,173.66,177.8,16695.608,2020-09-09,2968479.1024
1599523200,167.25,184.99,179.33,173.66,20152.47,2020-09-08,3499677.9402
1599436800,153.97,180.31,170.62,179.33,32539.187,2020-09-07,5835252.40471
1599350400,145.51,177.98,158.11,170.81,39911.801,2020-09-06,6817334.72881
1599264000,149.84,198.4,189.63,158.03,51426.075,2020-09-05,8126862.63225
1599177600,178.0,202.06,187.15,189.2,38320.037,2020-09-04,7250151.000399999
1599091200,180.45,244.95,227.23,187.15,68336.229,2020-09-03,12789125.257350001
1599004800,204.04,257.11,256.63,227.18,44548.879,2020-09-02,10120614.331220001
1598918400,234.64,272.53,242.7,256.7,86752.405,2020-09-01,22269342.3635
1598832000,207.73,251.77,216.92,242.98,59850.823,2020-08-31,14542552.972539999
1598745600,191.74,228.57,193.74,217.0,47397.706,2020-08-30,10285302.202
1598659200,185.01,200.29,189.25,193.86,16526.557,2020-08-29,3203838.3400200005
1598572800,169.27,204.0,171.24,189.25,38747.996,2020-08-28,7333058.243
1598486400,165.0,180.17,179.79,171.24,15700.972,2020-08-27,2688634.44528
1598400000,162.27,190.0,165.38,180.01,36063.305,2020-08-26,6491755.53305
1598313600,161.21,189.99,181.35,165.41,29532.456,2020-08-25,4884963.54696
1598227200,165.91,189.7,169.22,181.35,29564.008,2020-08-24,5361432.8508
1598140800,164.44,175.9,174.2,169.23,11475.397,2020-08-23,1941981.43431
1598054400,160.6,180.0,169.75,174.21,25026.486,2020-08-22,4359864.126060001
1597968000,162.0,189.88,179.9,169.98,41520.378,2020-08-21,7057633.852439999
1597881600,178.05,187.0,182.94,180.15,23019.524,2020-08-20,4146967.2486000005
1597795200,176.8,212.0,187.4,182.9,60505.698,2020-08-19,11066492.1642
1597708800,173.6,191.9,185.23,187.62,25505.599,2020-08-18,4785360.484379999
1597622400,184.31,203.54,201.38,184.8,30190.16,2020-08-17,5579141.568
1597536000,191.5,207.41,196.83,201.15,32039.014,2020-08-16,6444647.6661
1597449600,186.87,212.0,196.37,196.97,39293.42,2020-08-15,7739624.937399999
1597363200,190.91,216.69,205.0,196.39,47151.951,2020-08-14,9260171.65689
1597276800,186.02,235.89,218.08,205.0,100598.174,2020-08-13,20622625.669999998
1597190400,190.28,264.0,195.0,218.58,181703.175,2020-08-12,39716679.9915
1597104000,154.87,198.96,176.36,195.0,62658.662,2020-08-11,12218439.09
1597017600,163.01,192.5,170.59,176.85,48576.941,2020-08-10,8590832.01585
1596931200,148.95,175.96,152.64,170.54,33207.077,2020-08-09,5663134.911579999
1596844800,147.02,160.0,154.66,152.82,27781.51,2020-08-08,4245570.3582
1596758400,136.4,157.93,136.83,154.65,43731.324,2020-08-07,6763049.2566
1596672000,133.0,142.67,135.0,136.79,11706.407,2020-08-06,1601319.4135299998
1596585600,128.82,141.66,131.98,135.0,17408.841,2020-08-05,2350193.535
1596499200,126.54,133.5,127.01,131.85,9696.754,2020-08-04,1278517.0149
1596412800,125.0,132.74,127.49,127.01,9098.432,2020-08-03,1155591.84832
1596326400,120.02,139.22,138.39,127.31,32315.434,2020-08-02,4114077.90254
1596240000,134.48,144.0,134.94,138.39,21417.564,2020-08-01,2963976.6819599997
1596153600,127.95,139.98,133.31,134.72,19637.093,2020-07-31,2645509.16896
1596067200,131.47,135.15,133.24,133.35,10472.588,2020-07-30,1396519.6098
1595980800,132.01,140.0,136.59,133.22,9713.248,2020-07-29,1293998.89856
1595894400,130.02,142.36,135.87,136.59,22980.295,2020-07-28,3138878.49405
1595808000,120.02,158.19,157.46,135.84,51673.93,2020-07-27,7019386.6512
1595721600,153.25,163.89,155.96,157.5,15664.062,2020-07-26,2467089.765
1595635200,154.58,157.5,155.44,155.8,8418.118,2020-07-25,1311542.7844000002
1595548800,155.1,158.22,156.13,155.28,6338.822,2020-07-24,984292.2801600001
1595462400,155.5,165.0,157.88,156.13,16188.797,2020-07-23,2527556.87561
1595376000,153.71,160.03,159.71,157.63,12890.395,2020-07-22,2031912.96385
1595289600,157.24,163.3,157.98,159.95,8519.71,2020-07-21,1362727.6144999997
1595203200,155.0,175.6,163.08,157.86,22457.483,2020-07-20,3545138.2663800004
1595116800,159.59,164.73,163.95,163.08,7614.785,2020-07-19,1241819.1378000001
